1. 既然...就... (jìrán...jiù...) | Mặc dù... | Cho dù... | Vì... | Đã...thì...
46. 只有 (zhǐyǒu) | Có lẽ | Nhất định | Rõ ràng | Chỉ có
47. 只要 (zhǐyào) | Vì | Nên | Nhưng | Chỉ cần
48. 无论 (wúlùn) | Vì | Nên | Nhưng | Bất luận
49. 哪怕 (nǎpà) | Vì | Nên | Nhưng | Cho dù
50. 何必 (hébì) | Rất | Cần | Đã | Cần gì phải
51. 况且 (kuàngqiě) | Vì | Nên | Nhưng | Hơn nữa
52. 甚至 (shènzhì) | Vì | Nên | Nhưng | Thậm chí
53. 至于 (zhìyú) | Vì | Nên | Nhưng | Còn về
54. 万一 (wànyī) | Vì | Nên | Nhưng | Ngộ nhỡ
55. 哪怕 (nǎpà) | Vì | Nên | Nhưng | Cho dù
56. 竟然 (jìngrán) | Vì | Nên | Nhưng | Không ngờ
57. 居然 (jūrán) | Vì | Nên | Nhưng | Không ngờ
58. 到底 (dàodǐ) | Vì | Nên | Nhưng | Rốt cuộc
59. 终于 (zhōngyú) | Vì | Nên | Nhưng | Cuối cùng
60. 曾经 (céngjīng) | Vì | Nên | Nhưng | Đã từng
61. 早就 (zǎojiù) | Vì | Nên | Nhưng | Đã sớm
62. 一向 (yīxiàng) | Vì | Nên | Nhưng | Luôn luôn
63. 往往 (wǎngwǎng) | Vì | Nên | Nhưng | Thường
64. 向来 (xiànglái) | Vì | Nên | Nhưng | Luôn luôn
65. 终于 (zhōngyú) | Vì | Nên | Nhưng | Cuối cùng
66. 还是 (háishì) | Vì | Nên | Nhưng | Vẫn là
67. 毕竟 (bìjìng) | Vì | Nên | Nhưng | Dù sao thì
68. 到底 (dàodǐ) | Vì | Nên | Nhưng | Rốt cuộc
69. 干脆 (gāncuì) | Vì | Nên | Nhưng | Dứt khoát
70. 简直 (jiǎnzhí) | Vì | Nên | Nhưng | Đơn giản là
71. 索性 (suǒxìng) | Vì | Nên | Nhưng | Thà rằng
72. 竟然 (jìngrán) | Vì | Nên | Nhưng | Không ngờ
73. 居然 (jūrán) | Vì | Nên | Nhưng | Không ngờ
74. 果然 (guǒrán) | Vì | Nên | Nhưng | Quả nhiên
75. 竟然 (jìngrán) | Vì | Nên | Nhưng | Không ngờ
76. 确实 (quèshí) | Vì | Nên | Nhưng | Quả thực
77. 实在 (shízài) | Vì | Nên | Nhưng | Thật sự
78. 尤其 (yóuqí) | Vì | Nên | Nhưng | Đặc biệt là
79. 特意 (tèyì) | Vì | Nên | Nhưng | Cố ý
80. 哪怕 (nǎpà) | Vì | Nên | Nhưng | Dẫu cho
81. 不管 (bùguǎn) | Vì | Nên | Nhưng | Bất kể
82. 不论 (bùlùn) | Vì | Nên | Nhưng | Bất luận
83. 既然 (jìrán) | Vì | Nên | Nhưng | Đã...thì...
84. 即使 (jíshǐ) | Vì | Nên | Nhưng | Cho dù
85. 虽然 (suīrán) | Vì | Nên | Nhưng | Mặc dù
86. 为了 (wèile) | Vì | Nên | Nhưng | Để
87. 并且 (bìngqiě) | Vì | Nên | Nhưng | Hơn nữa
88. 况且 (kuàngqiě) | Vì | Nên | Nhưng | Vả lại
89. 甚至 (shènzhì) | Vì | Nên | Nhưng | Thậm chí
90. 至于 (zhìyú) | Vì | Nên | Nhưng | Còn về
91. 何必 (hébì) | Vì | Nên | Nhưng | Cần gì phải
92. 不免 (bùmiǎn) | Vì | Nên | Nhưng | Không tránh khỏi
93. 万一 (wànyī) | Vì | Nên | Nhưng | Ngộ nhỡ
94. 始终 (shǐzhōng) | Vì | Nên | Nhưng | Từ đầu đến cuối
95. 到底 (dàodǐ) | Vì | Nên | Nhưng | Rốt cuộc
96. 并非 (bìngfēi) | Đúng là | Chắc chắn | Rõ ràng | Không phải là
97. 不见得 (bújiànde) | Chắc chắn | Nhất định | Rõ ràng | Chưa chắc
98. 不得不 (bùdébù) | Không muốn | Tự nguyện | Thích | Phải
99. 连...也... (lián...yě...) | Vừa...lại | Không chỉ | Đã... | Ngay cả...cũng...
100. 一旦 (yídàn) | Sau đó | Trước đó | Vì | Một khi

