1. 把 (bǎ) | Đối với | Với | Nhằm | Từ chỉ sự tác động vào tân ngữ
82. 实在 (shízài) | Vì | Nên | Nhưng | Thật sự
83. 尤其 (yóuqí) | Vì | Nên | Nhưng | Đặc biệt là
84. 特意 (tèyì) | Vì | Nên | Nhưng | Cố ý
85. 哪怕 (nǎpà) | Vì | Nên | Nhưng | Dẫu cho
86. 不管 (bùguǎn) | Vì | Nên | Nhưng | Bất kể
87. 不论 (bùlùn) | Vì | Nên | Nhưng | Bất luận
88. 既然 (jìrán) | Vì | Nên | Nhưng | Đã (thế) thì
89. 即使 (jíshǐ) | Vì | Nên | Nhưng | Cho dù
90. 虽然 (suīrán) | Vì | Nên | Nhưng | Mặc dù
91. 为了 (wèile) | Vì | Nên | Nhưng | Để
92. 并且 (bìngqiě) | Vì | Nên | Nhưng | Hơn nữa
93. 况且 (kuàngqiě) | Vì | Nên | Nhưng | Vả lại
94. 甚至 (shènzhì) | Vì | Nên | Nhưng | Thậm chí
95. 至于 (zhìyú) | Vì | Nên | Nhưng | Còn về
96. 何必 (hébì) | Vì | Nên | Nhưng | Cần gì phải
97. 不免 (bùmiǎn) | Vì | Nên | Nhưng | Không tránh khỏi
98. 万一 (wànyī) | Vì | Nên | Nhưng | Ngộ nhỡ
99. 始终 (shǐzhōng) | Vì | Nên | Nhưng | Từ đầu đến cuối
100. 到底 (dàodǐ) | Vì | Nên | Nhưng | Rốt cuộc
