1. 不免 (bùmiǎn) | Tránh khỏi | Né tránh | Rất | Khó tránh khỏi
44. 哪怕 (nǎpà) | Vì | Nên | Đang | Cho dù
45. 也就是说 (yějiùshìshuō) | Vì | Nên | Đang | Nghĩa là
46. 到底 (dàodǐ) | Vì | Nên | Đang | Rốt cuộc (câu hỏi)
47. 难怪 (nánguài) | Cái gì | Ở đâu | Đang | Thảo nào
48. 哪怕 (nǎpà) | Vì | Nên | Đang | Dẫu cho
49. 不管 (bùguǎn) | Vì | Nên | Đang | Bất kể
50. 不论 (bùlùn) | Vì | Nên | Đang | Bất luận
51. 既然 (jìrán) | Vì | Nên | Đang | Đã...thì...
52. 即使 (jíshǐ) | Vì | Nên | Đang | Cho dù
53. 虽然 (suīrán) | Vì | Nên | Đang | Mặc dù
54. 为了 (wèile) | Vì | Nên | Đang | Để
55. 并且 (bìngqiě) | Vì | Nên | Đang | Hơn nữa
56. 况且 (kuàngqiě) | Vì | Nên | Đang | Vả lại
57. 甚至 (shènzhì) | Vì | Nên | Đang | Thậm chí
58. 至于 (zhìyú) | Vì | Nên | Đang | Còn về
59. 何必 (hébì) | Vì | Nên | Đang | Cần gì phải
60. 不免 (bùmiǎn) | Vì | Nên | Đang | Không tránh khỏi
61. 万一 (wànyī) | Vì | Nên | Đang | Ngộ nhỡ
62. 始终 (shǐzhōng) | Vì | Nên | Đang | Từ đầu đến cuối
63. 到底 (dàodǐ) | Vì | Nên | Đang | Rốt cuộc
64. 并非 (bìngfēi) | Đúng | Chắc | Đang | Không phải là
65. 不见得 (bújiànde) | Chắc | Nhất | Đang | Chưa chắc
66. 不得不 (bùdébù) | Không | Tự | Đang | Phải
67. 一旦 (yídàn) | Sau | Trước | Đang | Một khi
68. 既然 (jìrán) | Vì | Nên | Đang | Đã...thì...
69. 不仅 (bùjǐn) | Vừa | Vì | Đang | Không những
70. 从而 (cóng'ér) | Trước | Sau | Đang | Do đó
71. 反而 (fǎn'ér) | Như | Rất | Đang | Trái lại
72. 究竟 (jiūjìng) | Ai | Cái | Đang | Rốt cuộc (câu hỏi)
73. 往往 (wǎngwǎng) | Chưa | Đang | Đang | Thường
74. 曾经 (céngjīng) | Đang | Sẽ | Đang | Đã từng
75. 一向 (yīxiàng) | Chưa | Đang | Đang | Luôn luôn
76. 竟然 (jìngrán) | Thật | Có | Đang | Không ngờ
77. 居然 (jūrán) | Thật | Có | Đang | Không ngờ
78. 索性 (suǒxìng) | Do | Nghi | Đang | Thà rằng
79. 大概 (dàgài) | Chắc | Nhất | Đang | Khoảng
80. 确实 (quèshí) | Sai | Mơ | Đang | Quả thực
81. 实在 (shízài) | Không | Đang | Đang | Thật sự
82. 万一 (wànyī) | Chắc | Nhất | Đang | Ngộ nhỡ
83. 难道 (nándào) | Cái | Ở | Đang | Lẽ nào
84. 难怪 (nánguài) | Cái | Ở | Đang | Thảo nào
85. 一再 (yīzài) | Một | Dừng | Đang | Hết lần này đến lần khác
86. 再三 (zàisān) | Một | Dừng | Đang | Ba lần bảy lượt
87. 顺便 (shùnbiàn) | Cố | Chủ | Đang | Tiện thể
88. 亲口 (qīnkǒu) | Nghe | Đọc | Đang | Tự miệng
89. 亲手 (qīnshǒu) | Mua | Bán | Đang | Tự tay
90. 亲眼 (qīnyǎn) | Nghe | Đọc | Đang | Tự mắt
91. 尤其 (yóuqí) | Bình | Xấu | Đang | Đặc biệt là
92. 特意 (tèyì) | Tình | Ngẫu | Đang | Cố ý
93. 哪怕 (nǎpà) | Vì | Nên | Đang | Dẫu cho
94. 不管 (bùguǎn) | Vì | Nên | Đang | Bất kể
95. 不论 (bùlùn) | Vì | Nên | Đang | Bất luận
96. 既然 (jìrán) | Vì | Nên | Đang | Đã...thì...
97. 始终 (shǐzhōng) | Vì | Nên | Đang | Từ đầu đến cuối
98. 到底 (dàodǐ) | Vì | Nên | Đang | Rốt cuộc
99. 宛如 (wǎnrú) | Khác | Lệch | Đang | Giống như là
100. 无论如何 (wúlùnhéhé) | Bỏ qua | Bỏ dở | Đang | Dù sao đi nữa
