1. Nationality | Quốc gia | Thành phố | Ngôn ngữ | Quốc tịch
137. Difficult | Dễ dàng | Chăm chỉ | Tự tin | Khó khăn
138. Important | Không quan trọng | Lười biếng | Nhút nhát | Quan trọng
139. Necessary | Không cần thiết | Chăm chỉ | Tự tin | Cần thiết
140. Possible | Không thể | Lười biếng | Nhút nhát | Có thể
141. Impossible | Có thể | Chăm chỉ | Tự tin | Không thể
142. Correct | Sai | Lười biếng | Nhút nhát | Đúng
143. Incorrect | Đúng | Chăm chỉ | Tự tin | Sai
144. Famous | Vô danh | Lười biếng | Nhút nhát | Nổi tiếng
145. Popular | Vô danh | Chăm chỉ | Tự tin | Phổ biến
146. Strange | Quen thuộc | Lười biếng | Nhút nhát | Kỳ lạ
147. Familiar | Kỳ lạ | Chăm chỉ | Tự tin | Quen thuộc
148. Private | Công cộng | Lười biếng | Nhút nhát | Riêng tư
149. Public | Riêng tư | Chăm chỉ | Tự tin | Công cộng
150. Global | Địa phương | Lười biếng | Nhút nhát | Toàn cầu
151. Local | Toàn cầu | Chăm chỉ | Tự tin | Địa phương
152. Natural | Nhân tạo | Lười biếng | Nhút nhát | Tự nhiên
153. Artificial | Tự nhiên | Chăm chỉ | Tự tin | Nhân tạo
154. Modern | Cổ xưa | Lười biếng | Nhút nhát | Hiện đại
155. Ancient | Hiện đại | Chăm chỉ | Tự tin | Cổ xưa
156. Simple | Phức tạp | Lười biếng | Nhút nhát | Đơn giản
157. Complex | Đơn giản | Chăm chỉ | Tự tin | Phức tạp
158. Perfect | Hoàn hảo | Lười biếng | Nhút nhát | Hoàn hảo
159. Imperfect | Hoàn hảo | Chăm chỉ | Tự tin | Không hoàn hảo
160. Clean | Bẩn | Lười biếng | Nhút nhát | Sạch sẽ
161. Dirty | Sạch sẽ | Chăm chỉ | Tự tin | Bẩn thỉu
162. Bright | Tối tăm | Lười biếng | Nhút nhát | Sáng sủa
163. Dark | Sáng sủa | Chăm chỉ | Tự tin | Tối tăm
164. Full | Rỗng | Lười biếng | Nhút nhát | Đầy đủ
165. Empty | Đầy đủ | Chăm chỉ | Tự tin | Trống rỗng
166. Quiet | Ồn ào | Lười biếng | Nhút nhát | Yên tĩnh
167. Noisy | Yên tĩnh | Chăm chỉ | Tự tin | Ồn ào
168. Safe | Nguy hiểm | Lười biếng | Nhút nhát | An toàn
169. Dangerous | An toàn | Chăm chỉ | Tự tin | Nguy hiểm
170. Early | Muộn | Lười biếng | Nhút nhát | Sớm
171. Late | Sớm | Chăm chỉ | Tự tin | Muộn
172. Fast | Chậm | Lười biếng | Nhút nhát | Nhanh chóng
173. Slow | Nhanh chóng | Chăm chỉ | Tự tin | Chậm chạp
174. Big | Nhỏ | Lười biếng | Nhút nhát | To lớn
175. Small | To lớn | Chăm chỉ | Tự tin | Nhỏ bé
176. Long | Ngắn | Lười biếng | Nhút nhát | Dài
177. Short | Dài | Chăm chỉ | Tự tin | Ngắn
178. High | Thấp | Lười biếng | Nhút nhát | Cao
179. Low | Cao | Chăm chỉ | Tự tin | Thấp
180. Wide | Hẹp | Lười biếng | Nhút nhát | Rộng
181. Narrow | Rộng | Chăm chỉ | Tự tin | Hẹp
182. Thick | Mỏng | Lười biếng | Nhút nhát | Dày
183. Thin | Dày | Chăm chỉ | Tự tin | Mỏng
184. Deep | Nông | Lười biếng | Nhút nhát | Sâu
185. Shallow | Sâu | Chăm chỉ | Tự tin | Nông
186. Heavy | Nhẹ | Lười biếng | Nhút nhát | Nặng
187. Light | Nặng | Chăm chỉ | Tự tin | Nhẹ
188. Soft | Cứng | Lười biếng | Nhút nhát | Mềm
189. Hard | Mềm | Chăm chỉ | Tự tin | Cứng
190. Smooth | Ráp | Lười biếng | Nhút nhát | Mịn màng
191. Rough | Mịn màng | Chăm chỉ | Tự tin | Gồ ghề
192. Sweet | Đắng | Lười biếng | Nhút nhát | Ngọt
193. Sour | Ngọt | Chăm chỉ | Tự tin | Chua
194. Bitter | Ngọt | Lười biếng | Nhút nhát | Đắng
195. Salty | Ngọt | Chăm chỉ | Tự tin | Mặn
196. Fresh | Cũ | Lười biếng | Nhút nhát | Tươi mới
197. Rotten | Tươi mới | Chăm chỉ | Tự tin | Thối rữa
198. Dry | Ướt | Lười biếng | Nhút nhát | Khô ráo
199. Wet | Khô ráo | Chăm chỉ | Tự tin | Ướt át
200. Calm | Ồn ào | Lười biếng | Nhút nhát | Bình tĩnh
201. Achievement | Thất bại | Nỗ lực | Ý định | Thành tựu
202. Challenge | Thành công | Ý định | Thành tựu | Thử thách
203. Opportunity | Thử thách | Ý định | Thành tựu | Cơ hội
204. Goal | Thử thách | Ý định | Cơ hội | Mục tiêu
205. Plan | Thử thách | Mục tiêu | Cơ hội | Kế hoạch
206. Idea | Thử thách | Mục tiêu | Kế hoạch | Ý tưởng
207. Solution | Thử thách | Mục tiêu | Kế hoạch | Giải pháp
208. Problem | Giải pháp | Mục tiêu | Kế hoạch | Vấn đề
209. Change | Giữ nguyên | Thử thách | Vấn đề | Thay đổi
210. Stability | Thay đổi | Thử thách | Vấn đề | Ổn định
211. Action | Suy nghĩ | Thử thách | Vấn đề | Hành động
212. Thought | Hành động | Thử thách | Vấn đề | Suy nghĩ
213. Feeling | Suy nghĩ | Thử thách | Vấn đề | Cảm xúc
214. Emotion | Cảm xúc | Thử thách | Vấn đề | Cảm xúc (mạnh)
215. Reason | Cảm xúc | Thử thách | Vấn đề | Lý do
216. Result | Lý do | Thử thách | Vấn đề | Kết quả
217. Process | Kết quả | Thử thách | Vấn đề | Quá trình
218. System | Quá trình | Thử thách | Vấn đề | Hệ thống
219. Method | Hệ thống | Thử thách | Vấn đề | Phương pháp
220. Technique | Phương pháp | Thử thách | Vấn đề | Kỹ thuật
221. Technology | Phương pháp | Kỹ thuật | Vấn đề | Công nghệ
222. Science | Phương pháp | Kỹ thuật | Công nghệ | Khoa học
223. Research | Khoa học | Kỹ thuật | Công nghệ | Nghiên cứu
224. Discovery | Nghiên cứu | Kỹ thuật | Công nghệ | Khám phá
225. Invention | Khám phá | Kỹ thuật | Công nghệ | Phát minh
226. Communication | Phát minh | Kỹ thuật | Công nghệ | Giao tiếp
227. Language | Giao tiếp | Kỹ thuật | Công nghệ | Ngôn ngữ
228. Culture | Ngôn ngữ | Kỹ thuật | Công nghệ | Văn hóa
229. Tradition | Văn hóa | Kỹ thuật | Công nghệ | Truyền thống
230. History | Truyền thống | Kỹ thuật | Công nghệ | Lịch sử
231. Geography | Lịch sử | Kỹ thuật | Công nghệ | Địa lý
232. Environment | Địa lý | Kỹ thuật | Công nghệ | Môi trường
233. Climate | Môi trường | Kỹ thuật | Công nghệ | Khí hậu
234. Nature | Khí hậu | Kỹ thuật | Công nghệ | Thiên nhiên
235. Space | Thiên nhiên | Kỹ thuật | Công nghệ | Không gian
236. Universe | Không gian | Kỹ thuật | Công nghệ | Vũ trụ
237. Galaxy | Vũ trụ | Kỹ thuật | Công nghệ | Thiên hà
238. Planet | Thiên hà | Kỹ thuật | Công nghệ | Hành tinh
239. Earth | Hành tinh | Kỹ thuật | Công nghệ | Trái đất
240. Sun | Trái đất | Kỹ thuật | Công nghệ | Mặt trời
241. Moon | Mặt trời | Kỹ thuật | Công nghệ | Mặt trăng
242. Star | Mặt trăng | Kỹ thuật | Công nghệ | Ngôi sao
243. Light | Ngôi sao | Kỹ thuật | Công nghệ | Ánh sáng
244. Energy | Ánh sáng | Kỹ thuật | Công nghệ | Năng lượng
245. Power | Năng lượng | Kỹ thuật | Công nghệ | Quyền lực/Sức mạnh
246. Force | Sức mạnh | Kỹ thuật | Công nghệ | Lực
247. Movement | Lực | Kỹ thuật | Công nghệ | Sự chuyển động
248. Velocity | Sự chuyển động | Kỹ thuật | Công nghệ | Vận tốc
249. Gravity | Vận tốc | Kỹ thuật | Công nghệ | Trọng lực
250. Distance | Trọng lực | Kỹ thuật | Công nghệ | Khoảng cách
251. Time | Khoảng cách | Kỹ thuật | Công nghệ | Thời gian
252. Space | Thời gian | Kỹ thuật | Công nghệ | Không gian
253. Matter | Không gian | Kỹ thuật | Công nghệ | Vật chất
254. Atom | Vật chất | Kỹ thuật | Công nghệ | Nguyên tử
255. Molecule | Nguyên tử | Kỹ thuật | Công nghệ | Phân tử
256. Cell | Phân tử | Kỹ thuật | Công nghệ | Tế bào
257. Organism | Tế bào | Kỹ thuật | Công nghệ | Sinh vật
258. Species | Sinh vật | Kỹ thuật | Công nghệ | Loài
259. Evolution | Loài | Kỹ thuật | Công nghệ | Sự tiến hóa
260. Life | Sự tiến hóa | Kỹ thuật | Công nghệ | Cuộc sống
261. Health | Cuộc sống | Kỹ thuật | Công nghệ | Sức khỏe
262. Medicine | Sức khỏe | Kỹ thuật | Công nghệ | Y học
263. Disease | Y học | Kỹ thuật | Công nghệ | Bệnh tật
264. Treatment | Bệnh tật | Kỹ thuật | Công nghệ | Điều trị
265. Hospital | Điều trị | Kỹ thuật | Công nghệ | Bệnh viện
266. Doctor | Bệnh viện | Kỹ thuật | Công nghệ | Bác sĩ
267. Nurse | Bác sĩ | Kỹ thuật | Công nghệ | Y tá
268. Patient | Y tá | Kỹ thuật | Công nghệ | Bệnh nhân
269. Economy | Bệnh nhân | Kỹ thuật | Công nghệ | Kinh tế
270. Money | Kinh tế | Kỹ thuật | Công nghệ | Tiền tệ
271. Market | Tiền tệ | Kỹ thuật | Công nghệ | Thị trường
272. Trade | Thị trường | Kỹ thuật | Công nghệ | Thương mại
273. Industry | Thương mại | Kỹ thuật | Công nghệ | Công nghiệp
274. Production | Công nghiệp | Kỹ thuật | Công nghệ | Sản xuất
275. Service | Sản xuất | Kỹ thuật | Công nghệ | Dịch vụ
276. Government | Dịch vụ | Kỹ thuật | Công nghệ | Chính phủ
277. Law | Chính phủ | Kỹ thuật | Công nghệ | Pháp luật
278. Justice | Pháp luật | Kỹ thuật | Công nghệ | Công lý
279. Peace | Công lý | Kỹ thuật | Công nghệ | Hòa bình
280. War | Hòa bình | Kỹ thuật | Công nghệ | Chiến tranh
281. Society | Chiến tranh | Kỹ thuật | Công nghệ | Xã hội
282. Community | Xã hội | Kỹ thuật | Công nghệ | Cộng đồng
283. Family | Cộng đồng | Kỹ thuật | Công nghệ | Gia đình
284. Individual | Gia đình | Kỹ thuật | Công nghệ | Cá nhân
285. Education | Cá nhân | Kỹ thuật | Công nghệ | Giáo dục
286. School | Giáo dục | Kỹ thuật | Công nghệ | Trường học
287. Teacher | Trường học | Kỹ thuật | Công nghệ | Giáo viên
288. Student | Giáo viên | Kỹ thuật | Công nghệ | Học sinh
289. Knowledge | Học sinh | Kỹ thuật | Công nghệ | Kiến thức
290. Skill | Kiến thức | Kỹ thuật | Công nghệ | Kỹ năng
291. Talent | Kỹ năng | Kỹ thuật | Công nghệ | Tài năng
292. Creativity | Tài năng | Kỹ thuật | Công nghệ | Sự sáng tạo
293. Art | Sự sáng tạo | Kỹ thuật | Công nghệ | Nghệ thuật
294. Music | Nghệ thuật | Kỹ thuật | Công nghệ | Âm nhạc
295. Literature | Âm nhạc | Kỹ thuật | Công nghệ | Văn học
296. Sports | Văn học | Kỹ thuật | Công nghệ | Thể thao
297. Game | Thể thao | Kỹ thuật | Công nghệ | Trò chơi
298. Travel | Trò chơi | Kỹ thuật | Công nghệ | Du lịch
299. Adventure | Du lịch | Kỹ thuật | Công nghệ | Phiêu lưu
300. Future | Quá khứ | Hiện tại | Cổ xưa | Tương lai
