1. Apple | Quả cam | Quả chuối | Quả nho | Quả táo
178. Zip | Cúc | Dây | Nút | Khóa kéo
179. Ant | Voi | Chó | Mèo | Con kiến
180. Bat | Vợt | Gậy | Cây | Con dơi
181. Cup | Bát | Đĩa | Thìa | Cái cốc
182. Dog | Chim | Cá | Gà | Con chó
183. Egg | Thịt | Cá | Rau | Quả trứng
184. Fan | Điều hòa | Tủ lạnh | Đèn | Cái quạt
185. Hen | Vịt | Ngan | Chim | Gà mái
186. Ink | Phấn | Bút | Giấy | Mực
187. Jam | Bánh | Kẹo | Sữa | Mứt
188. Kite | Bóng | Đèn | Diều | Cái diều
189. Lamp | Bàn | Ghế | Tủ | Đèn bàn
190. Leg | Tay | Đầu | Bụng | Chân
191. Lion | Hổ | Báo | Voi | Sư tử
192. Moon | Sao | Mây | Trời | Mặt trăng
193. Nest | Nhà | Chuồng | Hang | Cái tổ
194. Nose | Mắt | Tai | Miệng | Cái mũi
195. Ox | Trâu | Ngựa | Cừu | Bò đực
196. Pen | Thước | Tẩy | Sách | Cái bút
197. Pig | Chó | Mèo | Dê | Con lợn
198. Queen | Vua | Hoàng tử | Công chúa | Nữ hoàng
199. Rat | Chó | Mèo | Thỏ | Con chuột
200. Sun | Mưa | Mây | Gió | Mặt trời
1. Arm | Chân | Bụng | Đầu | Cánh tay
2. Bag | Bút | Thước | Vở | Cái cặp sách
3. Bee | Kiến | Ruồi | Muỗi | Con ong
4. Box | Túi | Cặp | Giỏ | Cái hộp
5. Bus | Tàu | Thuyền | Máy bay | Xe buýt
6. Cake | Kẹo | Bánh mì | Kem | Bánh ngọt
7. Cap | Áo | Quần | Tất | Mũ lưỡi trai
8. Cat | Chó | Gà | Vịt | Con mèo
9. Cow | Dê | Cừu | Ngựa | Con bò sữa
10. Dad | Mẹ | Ông | Bà | Bố
11. Dog | Mèo | Chim | Cá | Con chó
12. Ear | Mắt | Mũi | Miệng | Cái tai
13. Egg | Sữa | Bánh | Kẹo | Quả trứng
14. Eye | Tai | Mũi | Chân | Con mắt
15. Fan | Đèn | Bàn | Ghế | Cái quạt
16. Fly | Đi bộ | Nhảy | Chạy | Bay
17. Fox | Sói | Hổ | Báo | Con cáo
18. Gum | Bánh | Mứt | Sữa | Kẹo cao su
19. Hat | Áo | Quần | Găng tay | Cái mũ
20. Hen | Vịt | Ngỗng | Chim | Gà mái
21. Ice | Nước | Trà | Cà phê | Đá lạnh
22. Jam | Bánh | Sữa | Kẹo | Mứt
23. Jet | Ô tô | Tàu hỏa | Thuyền | Máy bay phản lực
24. Key | Cửa | Khóa | Cổng | Chìa khóa
25. Kid | Người lớn | Ông bà | Thầy cô | Trẻ em
26. Lip | Mắt | Tai | Mũi | Môi
27. Map | Tranh | Ảnh | Bìa | Bản đồ
28. Mom | Bố | Ông | Bà | Mẹ
29. Net | Dây | Gậy | Vợt | Cái lưới
30. Pen | Vở | Bút chì | Thước | Bút mực
31. Pig | Chó | Mèo | Bò | Con lợn
32. Rat | Voi | Hổ | Sư tử | Con chuột
33. Red | Xanh | Vàng | Trắng | Màu đỏ
34. Sun | Mây | Sao | Trăng | Mặt trời
35. Ten | Một | Hai | Ba | Số mười
36. Toy | Sách | Bút | Giấy | Đồ chơi
37. Van | Xe đạp | Tàu | Thuyền | Xe tải
38. Bed | Bàn | Ghế | Tủ | Cái giường
39. Big | Nhỏ | Bé | Thấp | To lớn
40. Boy | Bé gái | Phụ nữ | Mẹ | Bé trai
41. Can | Không | Cần | Đang | Có thể
42. Day | Đêm | Chiều | Tối | Ngày
43. Fat | Gầy | Nhỏ | Thấp | Béo
44. Fig | Táo | Cam | Lê | Quả sung
45. Fun | Buồn | Chán | Mệt | Vui vẻ
46. Get | Mất | Cho | Tặng | Có được
47. Him | Tôi | Bạn | Họ | Anh ấy
48. Hot | Lạnh | Ấm | Mát | Nóng
49. Hut | Biệt thự | Nhà tầng | Lâu đài | Cái lều
50. Job | Nghỉ | Chơi | Học | Công việc
51. Jog | Ngủ | Ăn | Đứng | Chạy bộ
52. Lid | Khóa | Chốt | Cửa | Nắp đậy
53. Mad | Vui | Hạnh phúc | Bình tĩnh | Giận dữ
54. Man | Trẻ | Phụ nữ | Bé gái | Người đàn ông
55. Mat | Giường | Ghế | Bàn | Cái chiếu
56. Mop | Chổi | Xẻng | Gáo | Cây lau nhà
57. Mug | Chén | Bát | Đĩa | Cốc có quai
58. Not | Có | Rồi | Đang | Không
59. Pet | Đồ chơi | Sách | Vở | Thú cưng
60. Pot | Bát | Đĩa | Thìa | Cái nồi
61. Ran | Đi | Nhảy | Đứng | Đã chạy
62. Sat | Đứng | Chạy | Nhảy | Đã ngồi
63. Six | Một | Hai | Ba | Số sáu
64. Tap | Cửa | Cổng | Rèm | Vòi nước
65. Tea | Sữa | Cà phê | Nước | Trà
66. Tin | Sắt | Đồng | Nhôm | Thiếc
67. Tip | Đáy | Giữa | Dưới | Mẹo/đỉnh
68. Top | Dưới | Đáy | Giữa | Trên đỉnh
69. Tub | Chậu | Gáo | Xô | Bồn tắm
70. Wet | Khô | Nóng | Lạnh | Ướt
71. Win | Thua | Hòa | Chơi | Chiến thắng
72. Yes | Không | Chưa | Rồi | Vâng
73. Yet | Rồi | Đang | Đã | Chưa
74. Zip | Cúc | Dây | Nút | Khóa kéo
75. Bat | Vợt | Gậy | Cây | Con dơi
76. Cup | Bát | Đĩa | Thìa | Cái cốc
77. Kite | Bóng | Đèn | Diều | Cái diều
78. Lamp | Bàn | Ghế | Tủ | Đèn bàn
79. Leg | Tay | Đầu | Bụng | Chân
80. Lion | Hổ | Báo | Voi | Sư tử
81. Moon | Sao | Mây | Trời | Mặt trăng
82. Nest | Nhà | Chuồng | Hang | Cái tổ
83. Nose | Mắt | Tai | Miệng | Cái mũi
84. Ox | Trâu | Ngựa | Cừu | Bò đực
85. Queen | Vua | Hoàng tử | Công chúa | Nữ hoàng
86. Book | Thước | Bút | Vở | Quyển sách
87. Doll | Bóng | Xe | Gấu | Búp bê
88. Door | Cửa sổ | Tường | Trần | Cửa ra vào
89. Fish | Chó | Mèo | Gà | Con cá
90. Girl | Bé trai | Bố | Anh | Bé gái
91. Hand | Chân | Mắt | Mũi | Bàn tay
92. Milk | Nước | Trà | Cà phê | Sữa
93. Read | Viết | Nghe | Vẽ | Đọc
94. Run | Đi | Đứng | Ngồi | Chạy
95. Sit | Đi | Chạy | Đứng | Ngồi
96. Sky | Đất | Biển | Sông | Bầu trời
97. Tea | Nước | Sữa | Cà phê | Trà
98. Tree | Cỏ | Hoa | Lá | Cái cây
99. Walk | Chạy | Nhảy | Bơi | Đi bộ
100. Water | Nước | Sữa | Trà | Nước uống

