1. ～際 (～さい) | Sau khi | Trước khi | Trong khi rảnh | Khi/Lúc (Văn viết)
～きれる (～きれる) | Không thể làm | Sắp xong | Đang làm | Có thể làm hết sạch
～をきっかけに (～をきっかけに) | Trước khi | Vì không | Dù cho | Nhân cơ hội/Từ việc
～を通じて / ～を通して (～をつうじて / ～をとおして) | Chỉ một lát | Vì | Ngược lại | Thông qua/Suốt cả
～をこめて (～をこめて) | Loại bỏ | Giữ lại | Lấy ra | Gửi gắm (Tình cảm/Tâm tình)
～をもとに (～をもとに) | Bỏ qua | Thay cho | Sau khi | Dựa trên/Căn cứ trên
～に基づいて (～にもとづいて) | Định làm | Đã làm | Sợ làm | Căn cứ vào
～に応じて (～におうじて) | Trái ngược | Bỏ qua | Mặc dù | Ứng với/Tùy theo
～に沿って (～にそって) | Trái với | Nhờ vào | Bởi vì | Tuân theo/Dọc theo
～上 (～じょう) | Phía trên | Bên dưới | Bên cạnh | Về mặt/Xét theo khía cạnh
～うちに (～うちに) | Sau khi | Kể từ | Vì | Trong lúc còn... (Tranh thủ)
～かけだ / ～かけの (～かけだ / ～かけの) | Đã làm xong | Sắp làm | Không làm | Đang làm dở/Chưa xong
～きる (～きる) | Bắt đầu | Đang làm | Sợ làm | Làm hết/Hoàn toàn
～たて (～たて) | Đã xong lâu | Sắp làm | Đang làm | Vừa mới xong (Tươi mới)
～っぱなし (～っぱなし) | Sắp xếp gọn | Làm xong | Định làm | Cứ để nguyên như vậy (Xấu)
～げ (～げ) | Nghe nói | Định làm | Đã làm | Có vẻ (Trạng thái tâm hồn)
～がち (～がち) | Hiếm khi | Luôn luôn | Tốt lành | Thường hay (Xu hướng xấu)
～っぽい (～っぽい) | Hoàn toàn không | Rất tốt | Rất đẹp | Cảm thấy như/Đầy rẫy
～めく (～めく) | Trái với | Giống hệt | Không phải | Có vẻ như là/Cảm giác là
～向き (～むき) | Ghét | Dành riêng cho | Trái với | Phù hợp với
～拝見する (～はいけんする) | Ngài xem | Ngài đi | Ngài làm | Xem/Nhìn (Khiêm nhường)
～お目にかかる (～おめにかかる) | Ngài gặp | Tôi đi | Tôi ngủ | Gặp gỡ (Khiêm nhường)
～存じ上げる (～ぞんじあげる) | Tôi làm | Ngài biết | Ngài làm | Biết (Khiêm nhường)
～申し上げる (～もうしあげる) | Ngài nói | Ngài đi | Tôi ăn | Nói (Khiêm nhường)
～承る (～うけたまわる) | Ngài nhận | Tôi cho | Ngài cho | Nhận/Nghe (Khiêm nhường)
～次第だ (～しだいだ) | Ngay lập tức | Tùy vào | Chắc chắn | Chuyện là/Lý do là
～末に (～すえに) | Ngay trước khi | Trong khi | Vì | Sau rất nhiều (Vất vả)
～あげく (～あげく) | Kết quả tốt | Bắt đầu | Sắp sửa | Cuối cùng thì (Kết quả xấu)
～抜く (～ぬく) | Dừng lại | Bỏ cuộc | Sắp làm | Làm đến cùng
～っこない (～っこない) | Có thể | Nhất định | Định làm | Tuyệt đối không thể
